id_da rua,Id_ponto,metragem,sistema_metrico,logradouro,numero,numero original,data_inicial (DD/MM/AAAA),data_final (DD/MM/AAAA),fonte,autor_da_alimentação,Data
35,35-10,10,s,largo de sao bento,10,10,24/10/1939,,"Livro de emplacamento 26, p.208",Vitoria Martins,08/10/2018
35,35-10,10,n,largo de sao bento,2,2,01/06/1912,23/10/1939,"Livro de emplacamento 8, p.189",Vitoria Martins,08/10/2018
35,35-56,56,s,largo de sao bento,56,56,24/10/1939,,"Livro de emplacamento 26, p.208",Vitoria Martins,08/10/2018
35,35-56,56,n,largo de sao bento,14,14,01/06/1912,23/10/1939,"Livro de emplacamento 26, p.208",Vitoria Martins,08/10/2018
35,35-9,9,s,largo de sao bento,9,9,24/10/1939,,"Livro de emplacamento 26, p.208",Vitoria Martins,08/10/2018
35,35-25,25,s,largo de sao bento,25,25,24/10/1939,,"Livro de emplacamento 26, p.208",Vitoria Martins,08/10/2018
35,35-25,25,n,largo de sao bento,1,1,01/06/1912,23/10/1939,"Livro de emplacamento 26, p.208",Vitoria Martins,08/10/2018
35,35-25,25,n,largo de sao bento,97,97 alto,01/06/1912,31/05/1912,"Livro de emplacamento 8, p.189",Vitoria Martins,08/10/2018
35,35-83,83,s,largo de sao bento,83,83,24/10/1939,,"Livro de emplacamento 26, p.208",Vitoria Martins,08/10/2018
38,38-17,17,s,rua sao nicolau,17,17,06/08/1936,,"Livro de emplacamento 21, p. 226",Vitoria Martins,08/10/2018
38,38-17,17,n,rua sao nicolau,1,1,23/04/1909,05/08/1936,"Livro de emplacamento 21, p. 226; livro de emplacamento 8, p. 141",Vitoria Martins,08/10/2018
38,38-53,53,s,rua sao nicolau,53,53,06/08/1936,,"Livro de emplacamento 21, p. 226",Vitoria Martins,08/10/2018
38,38-53,53,n,rua sao nicolau,15,15,23/04/1909,05/06/1936,"Livro de emplacamento 21, p. 226; livro de emplacamento 8, p. 141",Vitoria Martins,08/10/2018
38,38-12,12,s,rua sao nicolau,12,12,06/08/1936,,"Livro de emplacamento 21, p. 226",Vitoria Martins,08/10/2018
38,38-18,18,s,rua sao nicolau,18,18,06/08/1936,,"Livro de emplacamento 21, p. 226",Vitoria Martins,08/10/2018
38,38-18,18,n,rua sao nicolau,2,2,23/04/1909,05/06/1936,"LIvro de emplacamento 21, p. 226",Vitoria Martins,08/10/2018
38,38-52,52,s,rua sao nicolau,52,52,06/08/1936,,"Livro de emplacamento 21, p. 226",Vitoria Martins,08/10/2018
38,38-42,42,s,rua sao nicolau,42,42,06/08/1936,,"Livro de emplacamento 21, p. 226",Vitoria Martins,08/10/2018
38,38-42,42,n,rua sao nicolau,10,10,23/04/1909,05/06/1936,"Livro de emplacamento 21, p. 226",Vitoria Martins,08/10/2018
37,37-12,12,s,rua lourenço gnecco,12,12,06/08/1936,,"Livro de emplacamento 21, p.221",Vitoria Martins,08/10/2018
37,37-20,20,s,rua lourenço gnecco,20,20,06/08/1936,,"LIvro de emplacamento 21, p. 221",Vitoria Martins,08/10/2018
37,37-20,20,n,rua lourenço gnecco,8,8,05/08/1936,05/08/1936,"Livro de emplacamento 21, p. 221",Vitoria Martins,08/10/2018
37,37-58,58,s,rua lourenço gnecco,58,58,06/08/1936,,"Livro de emplacamento 21, p. 221",Vitoria Martins,08/10/2018
37,37-58,58,n,rua lourenço gnecco,24,24,05/08/1936,05/08/1936,Livro de emplacamento 21. p. 221,Vitoria Martins,08/10/2018
39,39-14,14,s,rua maria benedicta,14,14,06/08/1936,,"Livro de emplacamento 21, p. 222",Vitoria Martins,08/10/2018
39,39-14,14,n,rua maria benedicta,2,2,23/04/1909,05/08/1936,"Livro de emplacamento 21, p. 222",Vitoria Martins,08/10/2018
39,39-58,58,s,rua maria benedicta,58,58,06/08/1936,,"Livro de emplacamento 21, p. 222",Vitoria Martins,08/10/2018
39,39-58,58,n,rua maria benedicta,20,20,05/08/1936,05/08/1936,"Livro de emplacamento 21, p. 222",Vitoria Martins,08/10/2018
39,39-13,13,s,rua maria benedicta,13,13,06/08/1936,,"Livro de emplacamento 21, p. 222",Vitoria Martins,08/10/2018
39,39-17,17,s,rua maria benedicta,17,17,06/08/1936,,"Livro de emplacamento 21, p. 222",Vitoria Martins,08/10/2018
39,39-17,17,n,rua maria benedicta,1,1,23/04/1909,05/08/1936,"Livro de emplacamento 21, p. 222",Vitoria Martins,08/10/2018
39,39-52,52,s,rua maria benedicta,51,51,06/08/1936,,"Livro de emplacamento 21, p. 222",Vitoria Martins,08/10/2018
39,39-52,52,n,rua maria benedicta,11,11,23/04/1909,05/08/1936,"LIvro de emplacamento 21, p. 222",Vitoria Martins,08/10/2018
40,40-19,19,s,rua do thesouro,19,19,30/07/1936,,"Livro de emplacamento 21, p. 215",Vitoria Martins,08/10/2018
40,40-19,19,n,rua do thesouro,1,1,22/06/1928,29/07/1936,"Livro de emplacamento 21, p. 215; Livro de emplacamento 14, p. 95",Vitoria Martins,08/10/2018
40,40-49,49,s,rua do thesouro,49,49,30/07/1936,,"Livro de emplacamento 21, p. 215",Vitoria Martins,08/10/2018
40,40-43,43,s,rua do thesouro,43,43,30/07/1936,,"Livro de emplacamento 21, p. 215",Vitoria Martins,08/10/2018
40,40-43,43,n,rua do thesouro,9,9,20/06/1928,29/07/1936,"Livro de emplacamento 21, p. 215",Vitoria Martins,08/10/2018
40,40-19,19,n,rua do thesouro,3,3,22/06/1928,29/07/1936,Livro de emplacamento 14. p. 95,Vitoria Martins,08/10/2018
40,40-43,43,n,rua do thesouro,11,11,20/06/1928,29/07/1936,Livro de emplacamento 14. p. 95,Vitoria Martins,08/10/2018
44,44-12,12,s,rua anchieta,12,12,7/12/1936,,"Livro de emplacamento 21, p. 358",Vitoria Martins,08/10/2018
44,44-12,12,n,rua anchieta,7,7,6/12/1936,6/12/1936,"Livro de emplacamento 21, p. 358",Vitoria Martins,08/10/2018
44,44-54,54,s,rua anchieta,54,54,7/12/1936,,"LIvro de emplacamento 21, p. 358",Vitoria Martins,08/10/2018
44,44-54,54,n,rua anchieta,1,1,6/12/1936,6/12/1936,"Livro de emplacamento 21, p. 358",Vitoria Martins,08/10/2018
48,48-15,15,s,rua dom jose de barros ,15,15,27/06/1935,,"Livro de emplacamento 19, p. 307",Vitoria Martins,08/10/2018
48,48-21,21,s,rua dom jose de barros ,21,21,27/06/1935,,"Livro de emplacamento 19, p. 307",Vitoria Martins,08/10/2018
48,48-21,21,n,rua dom jose de barros ,62,62,24/02/1909,26/06/1935,"Livro de emplacamento 19, p. 307",Vitoria Martins,08/10/2018
48,48-327,327,s,rua dom jose de barros ,327,327,27/06/1935,,"Livro de emplacamento 19, p. 307",Vitoria Martins,08/10/2018
48,48-323,323,s,rua dom jose de barros ,323,323,27/06/1935,,"Livro de emplacamento 19, p. 307",Vitoria Martins,08/10/2018
48,48-323,323,n,rua dom jose de barros ,4,4,24/02/1909,26/06/1935,"Livro de emplacamento 19, p. 307",Vitoria Martins,08/10/2018
48,48-10,10,s,rua dom jose de barros ,10,10,27/06/1935,,"Livro de emplacamento 19, p. 308",Vitoria Martins,08/10/2018
48,48-10,10,n,rua dom jose de barros ,53,53,24/02/1909,26/06/1935,"Livro de emplacamento 19, p. 308",Vitoria Martins,08/10/2018
48,48-345,345,s,rua dom jose de barros ,346,346,27/06/1935,,"Livro de emplacamento 19, p. 308",Vitoria Martins,08/10/2018
48,48-342,342,s,rua dom jose de barros ,342,342,27/06/1935,,"Livro de emplacamento 19, p. 308",Vitoria Martins,08/10/2018
48,48-342,342,n,rua dom jose de barros ,1,1,24/02/1909,26/06/1935,"Livro de emplacamento 19, p. 308",Vitoria Martins,08/10/2018
50,50-2,2,s,rua do seminário ,2,2,05/12/1933,,"Livro de emplacamento 19, p. 106",Vitoria Martins,08/10/2018
50,50-2,2,n,rua do seminário ,6,6,11/02/1909,04/06/1933,"LIvro de emplacamento 19, p. 106",Vitoria Martins,08/10/2018
50,50-2,2,n,rua do seminário ,0,0,11/02/1909,,"Livro de emplacamento 8, p. 121",Vitoria Martins,08/10/2018
50,50-222,222,s,rua do seminário ,222,222,05/12/1933,,"Livro de emplacamento 19, p. 106",Vitoria Martins,08/10/2018
50,50-222,222,n,rua do seminário ,34,34,11/02/1909,04/12/1933,"Livro de emplacamento 19, p. 106; Livro de emplacamento 8, p. 121",Vitoria Martins,08/10/2018
50,50-218,218,s,rua do seminário ,218,218,05/12/1933,,"Livro de emplacamento 19, p. 106",Vitoria Martins,08/10/2018
50,50-218,218,n,rua do seminário ,20,20,11/02/1909,04/12/1933,"Livro de emplacamento 19, p. 106",Vitoria Martins,08/10/2018
50,50-35,35,s,rua do seminário ,35,35,05/12/1933,,"Livro de emplacamento 19, p. 105",Vitoria Martins,08/10/2018
50,50-35,35,n,rua do seminário ,3,3,11/02/1909,04/12/1933,"Livro de emplacamento 19, p. 105",Vitoria Martins,08/10/2018
50,50-35,35,n,rua do seminário ,1,1,11/02/1909,04/12/1933,"Livro de emplacamento 8, p.121",Vitoria Martins,08/10/2018
50,50-140,140,s,rua do seminário ,141,141,05/12/1933,,"LIvro de emplacamento 19, p. 105",Vitoria Martins,08/10/2018
50,50-212,212,s,rua do seminário ,213,213,05/12/1933,,"Livro de emplacamento 19, p. 105",Vitoria Martins,08/10/2018
50,50-212,212,n,rua do seminário ,27,27,11/02/1909,04/12/1933,"Livro de emplacamento 19, p. 105",Vitoria Martins,09/10/2018
79,79-23,23,s,rua marquez de itu,23,23,20/05/1936,,"LIvro de emplacamento 21,p. 131",Vitoria Martins,09/10/2018
79,79-23,23,n,rua marquez de itu,1,1,19/05/1936,19/05/1936,"LIvro de emplacamento 21, p. 131",Vitoria Martins,09/10/2018
79,79-621,621,s,rua marquez de itu,621,621,20/05/1936,,"Livro de emplacamento 21, p. 131",Vitoria Martins,09/10/2018
79,79-621,621,n,rua marquez de itu,93,93,19/05/1936,19/05/1936,"Livro de emplacamento 21, p. 131",Vitoria Martins,09/10/2018
79,79-1033,1033,s,rua marquez de itu,1033,1033,20/05/1936,,"Livro de emplacamento 21, p. 132",Vitoria Martins,09/10/2018
79,79-1033,1033,n,rua marquez de itu,131,131,19/05/1936,19/05/1936,"Livro de emplacamento 21, p. 132",Vitoria Martins,09/10/2018
79,79-43,43,s,rua marquez de itu,44,44,20/05/1936,,"Livro de emplacamento 21, p. 133",Vitoria Martins,09/10/2018
79,79-57,57,s,rua marquez de itu,58,58,20/05/1936,,"Livro de emplacamento 21, p. 133",Vitoria Martins,09/10/2018
79,79-57,57,n,rua marquez de itu,2,2,19/05/1936,19/05/1936,"Livro de emplacamento 21, p. 133",Vitoria Martins,09/10/2018
79,79-450,449,s,rua marquez de itu,450,450,20/05/1936,,"Livro de emplacamento 21, p. 133",Vitoria Martins,09/10/2018
79,79-450,449,n,rua marquez de itu,62,62,19/05/1936,19/05/1936,"Livro de emplacamento 21, p. 133",Vitoria Martins,09/10/2018
79,79-1031,1031,s,rua marquez de itu,1031,1031,20/05/1936,,"Livro de emplacamento 21, p. 133",Vitoria Martins,09/10/2018
79,79-1031,1031,n,rua marquez de itu,128,128,19/05/1936,19/05/1936,"Livro de emplacamento 21, p. 133",Vitoria Martins,09/10/2018
80,80-51,51,s,rua general jardim,51,51,04/10/1935,,"Livro de emplacamento 20, p. 85",Vitoria Martins,09/10/2018
80,80-51,51,n,rua general jardim,1,1,19/06/1928,03/10/1935,"Livro de emplacamento 20, p. 85; ",Vitoria Martins,09/10/2018
80,80-361,361,s,rua general jardim,361,361,04/10/1935,,"Livro de emplacamento 20, p. 85",Vitoria Martins,09/10/2018
80,80-361,361,n,rua general jardim,49,49,03/10/1935,03/10/1935,"Livro de emplacamento 20, p. 85",Vitoria Martins,09/10/2018
80,80-714,714,s,rua general jardim,715,715,04/10/1935,,"Livro de emplacamento 20, p. 85",Vitoria Martins,09/10/2018
80,80-714,714,n,rua general jardim,97,97,03/10/1935,03/10/1935,"Livro de emplacamento 20, p. 85",Vitoria Martins,09/10/2018
80,80-48,48,s,rua general jardim,48,48,04/10/1935,,"Livro de emplacamento 20, p. 86",Vitoria Martins,09/10/2018
80,80-48,48,n,rua general jardim,2,2,03/10/1935,03/10/1935,"Livro de emplacamento 20, p. 86",Vitoria Martins,09/10/2018
80,80-364,364,s,rua general jardim,364,364,04/10/1935,,"Livro de emplacamento 20, p. 86",Vitoria Martins,09/10/2018
80,80-364,364,n,rua general jardim,62,62,03/10/1935,03/10/1935,"Livro de emplacamento 20, p. 86",Vitoria Martins,09/10/2018
80,80-876,876,s,rua general jardim,876,876,04/10/1935,,"Livro de emplacamento 20, p. 86",Vitoria Martins,09/10/2018
80,80-876,876,n,rua general jardim,114,114,03/10/1935,03/10/1935,"Livro de emplacamento 20, p. 86",Vitoria Martins,09/10/2018
82,82-31,31,s,rua epitacio pessoa,31,31,13/11/1940,,"Livro de emplacamento 27, p. 376",Vitoria Martins,09/10/2018
82,82-31,31,n,rua epitacio pessoa,30.2,30-b,12/11/1940,12/11/1940,"Livro de emplacamento 27, p. 376",Vitoria Martins,09/10/2018
82,82-112,112,s,rua epitacio pessoa,112,112,13/11/1940,,"Livro de emplacamento 27, p. 376",Vitoria Martins,09/10/2018
82,82-112,112,n,rua epitacio pessoa,34,34,12/11/1940,12/11/1940,"Livro de emplacamento 27, p. 376",Vitoria Martins,09/10/2018
82,82-56,56,s,rua epitacio pessoa,57,57,13/11/1940,,"Livro de emplacamento 27, p. 376",Vitoria Martins,09/10/2018
82,82-56,56,n,rua epitacio pessoa,23,23,12/11/1940,12/11/1940,"Livro de emplacamento 27, p. 376",Vitoria Martins,09/10/2018
82,82-97,97,s,rua epitacio pessoa,97,97,13/11/1940,,"Livro de emplacamento 27, p. 376",Vitoria Martins,09/10/2018
82,82-97,97,n,rua epitacio pessoa,35,35,12/11/1940,12/11/1940,"Livro de emplacamento 27, p. 376",Vitoria Martins,09/10/2018
83,83-32,32,s,rua dr. theodoro bayma,33,33,17/01/1936,,"Livro de emplacamento 20, p. 306",Vitoria Martins,09/10/2018
