,id_street,id_point,metre,address,number,original_n,initial_date,final_date,source,author,date,cord,first_day,first_month,first_year,last_day,last_month,last_year,reason
1,78,78-42,41.0,rua araujo,55.0,55,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,-46.6439355634494 -23.5436200423457,19.0,9.0,1908.0,14.0,5.0,1936.0,Initial year is greater than final year.
4,78,78-276,276.4,rua araujo,21.0,21,08/08/1930,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,-46.6447205644223 -23.5455591474032,8.0,8.0,1930.0,14.0,5.0,1936.0,Initial year is greater than final year.
5,78,78-276,276.4,rua araujo,19.0,19,19/09/1908,08/07/1930,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,-46.6447205644223 -23.5455591474032,19.0,9.0,1908.0,8.0,7.0,1930.0,Initial year is greater than final year.
7,78,78-392,391.5,rua araujo,1.0,1,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,-46.6450083489439 -23.5465642428292,19.0,9.0,1908.0,14.0,5.0,1936.0,Initial year is greater than final year.
9,78,78-73,74.1,rua araujo,42.0,42,08/08/1930,14/05/1936,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,-46.6441550132508 -23.5438255682242,8.0,8.0,1930.0,14.0,5.0,1936.0,Initial year is greater than final year.
10,78,78-73,74.1,rua araujo,44.0,44,19/09/1908,08/08/1930,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,-46.6441550132508 -23.5438255682242,19.0,9.0,1908.0,8.0,8.0,1930.0,Initial year is greater than final year.
13,78,78-281,281.8,rua araujo,10.0,10,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,-46.6447343405951 -23.5456062241194,19.0,9.0,1908.0,14.0,5.0,1936.0,Initial year is greater than final year.
15,78,78-399,399.6,rua araujo,2.0,2,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,-46.6450279289196 -23.5466351662025,19.0,9.0,1908.0,14.0,5.0,1936.0,Initial year is greater than final year.
41,13,13-8,8.0,rua wenceslau braz,4.0,4,09/05/1908,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018,-46.6330464611351 -23.5494759479912,9.0,5.0,1908.0,5.0,5.0,1940.0,Initial year is greater than final year.
44,13,13-104,104.0,rua wenceslau braz,32.0,32,09/05/1908,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018,-46.6321113249882 -23.5493910932163,9.0,5.0,1908.0,5.0,5.0,1940.0,Initial year is greater than final year.
49,13,13-47,47.0,rua wenceslau braz,7.0,7,09/05/1908,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018,-46.6326661598478 -23.5494480066552,9.0,5.0,1908.0,5.0,5.0,1940.0,Initial year is greater than final year.
52,13,13-67,67.0,rua wenceslau braz,11.0,11,09/05/1908,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018,-46.6324714809497 -23.5494280370275,9.0,5.0,1908.0,5.0,5.0,1940.0,Initial year is greater than final year.
54,13,13-93,93.0,rua wenceslau braz,19.0,19,09/05/1908,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018,-46.6322183983821 -23.5494020765115,9.0,5.0,1908.0,5.0,5.0,1940.0,Initial year is greater than final year.
56,14,14-21,21.0,rua onze de agosto,3.0,3,02/08/1909,12/06/1939,"Livro de Emplacamento, n.21, p.356; n.7, p.51",Cintia,8/10/2018,-46.6327650904251 -23.5496440079892,2.0,8.0,1909.0,12.0,6.0,1939.0,Initial year is greater than final year.
59,14,14-109,109.0,rua onze de agosto,23.0,23,02/08/1909,12/06/1939,"Livro de Emplacamento, n.21, p.356; n.7, p.51",Cintia,8/10/2018,-46.6329564445489 -23.5504117352214,2.0,8.0,1909.0,12.0,6.0,1939.0,Initial year is greater than final year.
62,14,14-357,357.0,rua onze de agosto,55.0,55,02/08/1909,12/06/1939,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018,-46.6339733837444 -23.5524244271702,2.0,8.0,1909.0,12.0,6.0,1939.0,Initial year is greater than final year.
65,14,14-98,98.0,rua onze de agosto,16.0,16,02/08/1909,12/06/1939,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018,-46.6329120867314 -23.5503220871551,2.0,8.0,1909.0,12.0,6.0,1939.0,Initial year is greater than final year.
68,14,14-224,224.0,rua onze de agosto,50.0,50,02/08/1909,12/06/1939,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018,-46.633426535643 -23.5513457761642,2.0,8.0,1909.0,12.0,6.0,1939.0,Initial year is greater than final year.
73,14,14-348,348.0,rua onze de agosto,80.0,80,02/08/1909,6/12/1939,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018,-46.6339366709996 -23.5523512880618,2.0,8.0,1909.0,6.0,12.0,1939.0,Initial year is greater than final year.
75,16,16-41,41.0,rua alvares penteado,5.0,5,16/07/1928,08/12/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31",Cintia,8/10/2018,-46.6345345441391 -23.5480700675816,16.0,7.0,1928.0,8.0,12.0,1939.0,Initial year is greater than final year.
76,16,16-41,41.0,rua alvares penteado,7.0,7,21/06/1912,15/07/1928,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018,-46.6345345441391 -23.5480700675816,21.0,6.0,1912.0,15.0,7.0,1928.0,Initial year is greater than final year.
78,16,16-121,121.0,rua alvares penteado,17.0,17,16/07/1928,08/12/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018,-46.6347419713366 -23.5473767762027,16.0,7.0,1928.0,8.0,12.0,1939.0,Initial year is greater than final year.
81,16,16-221,221.0,rua alvares penteado,31.1,31A,16/07/1928,08/12/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018,-46.6350018109431 -23.546508865265,16.0,7.0,1928.0,8.0,12.0,1939.0,Initial year is greater than final year.
