,id_street,number,original_n,source,author,date,cord,first_day,first_month,first_year,last_day,last_month,last_year
0,78,42.0,42,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018,(-46.6451748924466 -23.5471452119252),15.0,5.0,1936.0,,,
1,78,55.0,55,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6451748924466 -23.5471452119252),19.0,9.0,1908.0,15.0,5.0,1935.0
2,78,61.0,61,"Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6451748924466 -23.5471452119252),18.0,9.0,1908.0,15.0,5.0,1935.0
3,78,276.0,276,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018,(-46.6445834037298 -23.5450904341294),15.0,5.0,1936.0,,,
4,78,21.0,21,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6445834037298 -23.5450904341294),8.0,8.0,1930.0,15.0,5.0,1935.0
5,78,19.0,19,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6445834037298 -23.5450904341294),19.0,9.0,1908.0,15.0,5.0,1935.0
6,78,392.0,392,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018,(-46.6442930302977 -23.5440860549098),15.0,5.0,1936.0,,,
7,78,1.0,1,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6442930302977 -23.5440860549098),19.0,9.0,1908.0,15.0,5.0,1935.0
8,78,73.0,73,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018,(-46.6450910680685 -23.5468564691326),15.0,5.0,1936.0,,,
9,78,42.0,42,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6450910680685 -23.5468564691326),8.0,8.0,1930.0,15.0,5.0,1935.0
10,78,44.0,44,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6450910680685 -23.5468564691326),19.0,9.0,1908.0,15.0,5.0,1935.0
11,78,60.0,60,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6450910680685 -23.5468564691326),18.0,9.0,1908.0,15.0,5.0,1935.0
12,78,281.0,281,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018,(-46.644569627557 -23.5450433574132),15.0,5.0,1936.0,,,
13,78,10.0,10,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.644569627557 -23.5450433574132),19.0,9.0,1908.0,15.0,5.0,1935.0
14,78,399.0,399,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018,(-46.6442726521492 -23.5440153567388),15.0,5.0,1936.0,,,
15,78,2.0,2,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6442726521492 -23.5440153567388),19.0,9.0,1908.0,15.0,5.0,1935.0
16,11,18.0,18,"Livro de Emplacamento, n.21, p.342",Cintia,8/10/2018,(-46.6363292232243 -23.5501733759547),5.0,11.0,1936.0,,,
17,11,2.0,2,"Livro de Emplacamento, n.21, p.342",Cintia,8/10/2018,(-46.6363292232243 -23.5501733759547),4.0,11.0,1936.0,5.0,11.0,1935.0
18,11,82.0,82,"Livro de Emplacamento, n.21, p.342",Cintia,8/10/2018,(-46.6357380461614 -23.5503643482387),5.0,11.0,1936.0,,,
19,11,16.0,16,"Livro de Emplacamento, n.21, p.342",Cintia,8/10/2018,(-46.6357380461614 -23.5503643482387),4.0,11.0,1936.0,5.0,11.0,1935.0
20,11,158.0,158,"Livro de Emplacamento, n.21, p.342",Cintia,8/10/2018,(-46.6350433471414 -23.5506118512423),5.0,11.0,1936.0,,,
21,11,26.0,26,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018,(-46.6350433471414 -23.5506118512423),4.0,11.0,1936.0,5.0,11.0,1935.0
22,11,29.0,29,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018,(-46.6362272049875 -23.5502049206869),5.0,11.0,1936.0,,,
23,11,1.0,1,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018,(-46.6362272049875 -23.5502049206869),4.0,11.0,1936.0,5.0,11.0,1935.0
24,11,109.0,109,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018,(-46.6354925050893 -23.5504559376861),5.0,11.0,1936.0,,,
25,11,3.0,3,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018,(-46.6354925050893 -23.5504559376861),4.0,11.0,1936.0,5.0,11.0,1935.0
26,11,205.0,205,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018,(-46.6346042680171 -23.5507348195147),5.0,11.0,1936.0,,,
27,11,27.0,27,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018,(-46.6346042680171 -23.5507348195147),4.0,11.0,1936.0,5.0,11.0,1935.0
28,12,37.0,37,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6330495020115 -23.5501278208393),12.0,9.0,1940.0,,,
29,12,17.0,17,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6330495020115 -23.5501278208393),11.0,9.0,1940.0,12.0,9.0,1939.0
30,12,61.0,61,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6328237215827 -23.5501829072347),12.0,9.0,1940.0,,,
31,12,25.0,25,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6328237215827 -23.5501829072347),11.0,9.0,1940.0,12.0,9.0,1939.0
32,12,93.0,93,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6325317840603 -23.5501190562281),12.0,9.0,1940.0,,,
33,12,31.0,31,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6325317840603 -23.5501190562281),11.0,9.0,1940.0,12.0,9.0,1939.0
34,12,70.0,70,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6327416831718 -23.5501941880115),12.0,9.0,1940.0,,,
35,12,28.0,28,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6327416831718 -23.5501941880115),11.0,9.0,1940.0,12.0,9.0,1939.0
36,12,76.0,76,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6326869268818 -23.5501745884158),12.0,9.0,1940.0,,,
37,12,28.1,28A,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6326869268818 -23.5501745884158),11.0,9.0,1940.0,12.0,9.0,1939.0
38,12,86.0,86,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6325956663986 -23.550141922423),12.0,9.0,1940.0,,,
39,12,32.0,32,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018,(-46.6325956663986 -23.550141922423),11.0,9.0,1940.0,12.0,9.0,1939.0
40,13,8.0,8,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018,(-46.6330464611357 -23.549475947991),6.0,5.0,1940.0,,,
41,13,4.0,4,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018,(-46.6330464611357 -23.549475947991),5.0,9.0,1908.0,6.0,5.0,1939.0
42,13,2.1,2 tinta,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018,(-46.6330464611357 -23.549475947991),4.0,9.0,1908.0,6.0,5.0,1939.0
43,13,104.0,104,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018,(-46.6321113249887 -23.5493910932161),6.0,5.0,1940.0,,,
